titre,entreprise,ville,contrat,date,lien
Community Manager,Groupe Téranga Communication,"Keur Massar, Dakar",Stage,2026-04-01,https://www.emploidakar.com/offre-demploi/groupe-teranga-communication-keur-massar-stage-community-manager/
Formation Tech Academy et Recrutement JOJ2026,Jeux Olympiques de la Jeunesse Dakar 2026,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/jeux-olympiques-de-la-jeunesse-dakar-2026-dakar-senegal-cdd-cdi-formation-gratuite-et-recrutement-dans-la-tech/
Chauffeur,Urban Cars,"Dakar, Sénégal",Prestation de Services,2026-04-01,https://www.emploidakar.com/offre-demploi/urban-cars-sn-sas-dakar-prestation-de-services-recrutement-de-chauffeur/
Agent de Sécurité,LIS Security,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/lis-security-dakar-cdd-stage-agent-de-securite/
Acheteur,Top Work,"Kédougou, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/top-work-kedougou-senegal-cdd-acheteur/
Chargé de Pilotage & Performance,GPF,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/gpf-dakar-senegal-cdd-charge-de-pilotage-performance/
Responsable de Zone,Top Work,"Thiès, Mbour",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/top-work-thies-mbour-cdd-cdi-responsable-de-zone/
Directeur (trice) artistique,Les Barbus SN,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/les-barbus-sn-dakar-cdd-cdi-prestation-de-services-directeur-trice-artistique/
Chef de publicité,Les Barbus SN,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/les-barbus-sn-dakar-cdd-cdi-prestation-de-services-chef-de-publicite/
Content Manager,Les Barbus,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/les-barbus-dakar-cdd-cdi-content-manager/
Pompiste,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-pompiste/
Technicien de baie,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-technicien-de-baie/
Rayonniste,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-rayonniste/
Caissier,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-caissier/
Laveur,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-laveur/
Chef de piste,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-chef-de-piste/
Gérant de boutique,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-gerant-de-boutique/
Gérant de station,International Staffing Company,"Thiès, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/international-staffing-company-thies-senegal-cdd-gerant-de-station/
Manufacturing Team Leader,Philip Morris International,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/philip-morris-international-dakar-senegal-cdd-manufacturing-team-leader/
Assistant RH,Ascoma Assureurs Conseils,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/ascoma-assureurs-conseils-dakar-senegal-cdd-assistant-rh-assistante-rh/
Répartiteur Taxi Parc,Yango,"Dakar, Sénégal",Stage,2026-04-01,https://www.emploidakar.com/offre-demploi/yango-leopold-cedar-stade-stage-repartiteur-taxi-parc/
Télévendeurs en conquête mobile/marché français,SHY Performance Sénégal,"Mermoz Ancienne Piste, Dakar,",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/shy-performance-senegal-mermoz-ancienne-piste-dakar-cdd-televendeurs-en-conquete-mobile-marche-francais/
Public Engagement Assistant,Ambassade des Etats Unies au Sénégal,"Dakar, Sénégal",CDD,2026-04-01,https://www.emploidakar.com/offre-demploi/public-engagement-assistant/
Responsable Pédagogique,Genius Academy,"Thiès, Sénégal",CDD,2026-03-31,https://www.emploidakar.com/offre-demploi/genius-academy-thies-cdd-cdi-prestation-de-services-responsable-pedagogique/
Technicien Electromécanicien,Société industrielle,"Rufisque, Dakar",Stage,2026-03-31,https://www.emploidakar.com/offre-demploi/societe-industrielle-rufisque-stage-technicien-electromecanicien/
Responsable Exploitation Hotel,Importante Société de la Place,"Somone, Sénégal",CDD,2026-03-31,https://www.emploidakar.com/offre-demploi/importante-societe-de-la-place-somone-senegal-cdd-cdi-responsable-exploitation-hotel/
Chauffeur,Ambassade des États-Unis à Dakar,"Dakar, Sénégal",CDI,2026-03-31,https://www.emploidakar.com/offre-demploi/ambassade-des-etats-unis-a-dakar-dakar-senegal-cdi-chauffeur/
Consultant Support FAI avec expertise N1,Alten Sénégal,"Dakar, Sénégal",Stage,2026-03-31,https://www.emploidakar.com/offre-demploi/alten-senegal-dakar-senegal-stage-consultant-support-fai-avec-expertise-n1/
Commercial B2B,REGIPUB,"Dakar, Sénégal",CDD,2026-03-31,https://www.emploidakar.com/offre-demploi/regipub-dakar-senegal-cdd-cdi-commercial-b2b/
Cuisinière professionnelle,SB Services,"Grand Mbao, Dakar",Prestation de Services,2026-03-31,https://www.emploidakar.com/offre-demploi/sb-services-grand-mbao-prestation-de-services-cuisiniere-professionnelle/
Assistant.e au primaire bilingue,Vision Trilingual School,"Lot 27, Ngor Almadies, Dakar",CDD,2026-03-31,https://www.emploidakar.com/offre-demploi/vision-trilingual-school-lot-27-ngor-almadies-dakar-cdd-prestation-de-services-assistant-e-au-primaire-bilingue/
Agent Enquêteur,Elite RH,"Dakar, Sénégal",Prestation de Services,2026-03-31,https://www.emploidakar.com/offre-demploi/elite-rh-dakar-prestation-de-services-agent-enqueteur/
Commerciaux,Société de la place,"Dakar, Sénégal",CDD,2026-03-31,https://www.emploidakar.com/offre-demploi/societe-de-la-place-dakar-senegal-cdd-commerciaux/
Business Analyst,Africa Global Logistics,"Dakar, Sénégal",CDI,2026-03-31,https://www.emploidakar.com/offre-demploi/africa-global-logistics-dakar-senegal-cdi-business-analyst/
Enseignant Bilingue,Vision Trilingual School,"Lot 27, Zone 4, Ngor Almadies",CDD,2026-03-31,https://www.emploidakar.com/offre-demploi/vision-triligual-school-lot-27-zone-4-ngor-almadies-cdd-enseignant-bilingue/
Contrôleur de Gestion,Africa Global Logistics,"Dakar, Sénégal",CDI,2026-03-31,https://www.emploidakar.com/offre-demploi/africa-global-logistics-dakar-senegal-cdi-controleur-de-gestion/
Chef de la sécurité,Dangote Cement Senegal,"Pout, Thiès",CDI,2026-03-31,https://www.emploidakar.com/offre-demploi/dangote-cement-senegal-pout-thies-cdi-chef-de-la-securite/
Emerging Leaders Trainee Programme,West Africa Farms,"Saint-Louis, Sénégal",Stage,2026-03-31,https://www.emploidakar.com/offre-demploi/west-africa-farms-saint-louis-senegal-stage-emerging-leaders-trainee-programme/
"Assistant(e) administratif(ve), achats et comptabilité",JICA,"Dakar, Sénégal",CDI,2026-03-31,https://www.emploidakar.com/offre-demploi/eco-afrique-dakar-senegal-cdi-assistante-administratifve-achats-et-comptabilite/
Assistant(e) de Direction,Eco Afrique,"Dakar, Sénégal",CDI,2026-03-31,https://www.emploidakar.com/offre-demploi/eco-afrique-dakar-senegal-cdi-assistante-de-direction/
Chargé de Suivi-Évaluation,FHI 360,"Dakar, Sénégal",CDD,2026-03-31,https://www.emploidakar.com/offre-demploi/me-officer/
Chauffeur Livreur Tricycle (Moto 3 roues),Kuikdel,"Dakar, Sénégal",Prestation de Services,2026-03-31,https://www.emploidakar.com/offre-demploi/kuikdel-dakar-prestation-de-services-chauffeur-livreur-tricycle-moto-3-roues-dakar/
Agent externe restaurant,Société de la place,"Dakar, Sénégal",Prestation de Services,2026-03-31,https://www.emploidakar.com/offre-demploi/jakarta-dakar-prestation-de-services-agent-externe-restaurant/
IWG – Partnership Sales Lead,IWG,"Dakar, Sénégal",CDI,2026-03-31,https://www.emploidakar.com/offre-demploi/iwg-dakar-senegal-cdi-iwg-partnership-sales-lead/
Coordinateur.rice régional.e pédagogique Afrique,Médecins Sans Frontières,"Dakar, Sénégal",CDD,2026-03-31,https://www.emploidakar.com/offre-demploi/medecins-sans-frontieres-dakar-senegal-cdd-cdi-coordinateur-rice-regional-e-pedagogique-afrique/
Responsable Fiscalité et Conformité,Dangote Cement Senegal,"Dakar, Sénégal",CDI,2026-03-31,https://www.emploidakar.com/offre-demploi/dangote-cement-senegal-dakar-senegal-cdi-responsable-fiscalite-et-conformite/
consultant Expert Socio ou Agroéconomiste,Société Internationale d'Ingénierie Conseil,"Dakar, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/societe-internationale-dingenierie-conseil-dakar-cdd-cdi-avis-international-de-recrutement-dun-consultant-agro-socio-economiste-ou-socio-economiste/
Responsable Atelier Mécanique et Coordination,Topwork,"Dakar, Sénégal",CDI,2026-03-30,https://www.emploidakar.com/offre-demploi/topwork-dakar-senegal-cdi-responsable-atelier-mecanique-et-coordination/
Commercial Sédentaire / Téléprospecteur (H/F),Techgal,Sénégal (Télétravail),Prestation de Services,2026-03-30,https://www.emploidakar.com/offre-demploi/techgal-teletravail-prestation-de-services-commercial-sedentaire-teleprospecteur-h-f/
Responsable de Production Extursion,Topwork,"Dakar, Sénégal",CDI,2026-03-30,https://www.emploidakar.com/offre-demploi/topwork-dakar-senegal-cdi-responsable-de-production-extursion/
Project Manager,GFA Consulting Group GmbH,"Dakar, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/gfa-consulting-group-gmbh-dakar-cdi-project-manager-2/
Aide Gouvernante,MMBC,"Dakar, Sénégal",CDI,2026-03-30,https://www.emploidakar.com/offre-demploi/mmbc-dakar-cdi-aide-gouvernante/
Maitre d’Hotel,MMBC,"Almadies, Dakar, Sénégal",CDI,2026-03-30,https://www.emploidakar.com/offre-demploi/mmbc-almadies-dakar-senegal-cdi-maitre-dhotel/
Agents de nettoyage,AMINE GROUP,"Dakar, Sénégal",Prestation de Services,2026-03-30,https://www.emploidakar.com/offre-demploi/amine-group-dakar-prestation-de-services-stage-agents-de-nettoyage/
Assistant RH,Beta Services,"Dagana, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/beta-services-dagana-cdd-assistant-rh/
Assistant Caissier et commercial,Beta Services,"Dakar, Sénégal",Stage,2026-03-30,https://www.emploidakar.com/offre-demploi/beta-services-dakar-stage-assistant-caissier-et-commercial/
Assistante Commerciale résidante à Tambacounda,GK Invest Sénégal,"Tambacounda, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/gk-invest-senegal-tambacounda-cdd-assistante-commerciale-residante-a-tambacounda/
Global Assurance Manager,Plan International,"Dakar, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/plan-international-dakar-senegal-cdd-global-assurance-manager/
Superviseur HSE,GPF,"Dakar, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/gpf-dakar-senegal-cdd-superviseur-hse/
Superviseur Génie Civil,GPF,"Dakar, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/gpf-dakar-senegal-cdd-superviseur-genie-civil/
Assistant de passation de marchés,IUCN,"Dakar, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/iucn-dakar-senegal-cdd-assistant-de-passation-de-marches/
Référent.e Maladies Non Transmissibles,Médecins Sans Frontières,"Dakar, Sénégal",CDI,2026-03-30,https://www.emploidakar.com/offre-demploi/medecins-sans-frontieres-dakar-senegal-cdd-referent-e-maladies-non-transmissibles-f-h/
Assistant(e) Administratif(ve) et Qualité,Importante Société de la Place,"Dakar, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/importante-societe-de-la-place-dakar-senegal-cdd-cdi-assistante-administratifve-et-qualite/
Agent Assurance Qualité / Contrôle Qualité,AMD Corporate,"Dakar, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/amd-corporate-dakar-senegal-cdd-cdi-agent-assurance-qualite-controle-qualite/
Expert-Comptable,AMD Corporate,"Dakar, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/amd-corporate-dakar-senegal-cdd-cdi-expert-comptable/
Regional Infrastructure Advisor,UNOPS,"Dakar, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/unops-dakar-senegal-cdd-regional-infrastructure-advisor/
Internal Auditor,Wave Mobile Money,"Dakar, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/wave-mobile-money-dakar-senegal-cdd-internal-auditor-2/
Cash-Based Interventions Officer,IOM,"Dakar, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/iom-dakar-senegal-cdd-cash-based-interventions-officer/
50 Jeunes Volontaires,Union Africaine,Afrique,CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/union-africaine-afrique-cdd-50-jeunes-volontaires/
Conducteur Travaux CVCD & Plomberie,VINCI Energies Sénégal,"Dakar, Sénégal",CDI,2026-03-30,https://www.emploidakar.com/offre-demploi/vinci-energies-senegal-dakar-senegal-cdi-conducteur-travaux-cvcd-plomberie/
Bilingual HR Operations,Top Work,"Saint-Louis, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/top-work-saint-louis-senegal-cdd-cdi-bilingual-hr-operations/
Ingénieur Génie Civil Bilingue,Top Work,"Saint-Louis, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/top-work-saint-louis-senegal-cdd-cdi-ingenieur-genie-civil-bilingue/
Ingénieur Achat,Top Work,"Saint-Louis, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/top-work-saint-louis-senegal-cdd-cdi-ingenieur-achat/
Ferrailleurs,Top Work,"Saint-Louis, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/top-work-saint-louis-senegal-cdd-ferrailleurs/
Coffreurs,Top Work,"Saint-Louis, Sénégal",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/top-work-saint-louis-senegal-cdd-coffreurs/
Stagiaire Communication & Marketing Digital,Myfavagency,"Ouakam, Dakar",Stage,2026-03-30,https://www.emploidakar.com/offre-demploi/stagiaire-communication-marketing-digital/
Commercial Terrain (H/F),Global Talent HR,"Dakar, Sénégal",Prestation de Services,2026-03-30,https://www.emploidakar.com/offre-demploi/global-talent-hr-dakar-prestation-de-services-commercial-terrain-h-f-dakar/
"Stagiaires Développeurs Frontend, Backend & Web/Mobile (H/F)",Stars Investment Group,"Dakar, Sénégal",Stage,2026-03-30,https://www.emploidakar.com/offre-demploi/stars-investment-group-dakar-stage-offre-de-stage-developpeurs-frontend-backend-web-mobile-h-f/
Commercial ERP / Odoo (H/F),ODSYS Africa,"Dakar, Sénégal",CDI,2026-03-30,https://www.emploidakar.com/offre-demploi/odsys-africa-dakar-cdi-commercial-erp-odoo-h-f/
Participants – Programmes Internationaux AIESEC (Volunteer / Talent / Teacher),AIESEC in Senegal,"International (130+ pays – MEA, Europe, Asie, Amériques)",CDD,2026-03-30,https://www.emploidakar.com/offre-demploi/aiesec-in-senegal-international-130-pays-mea-europe-asie-ameriques-cdd-cdi-stage-participants-programmes-internationaux-aiesec-volunteer-talent-teacher/
Tailleur Costume sur mesure,Ûssû suits,"Liberté 6 extension, Dakar",CDD,2026-03-27,https://www.emploidakar.com/offre-demploi/ussu-suits-liberte-6-extension-cdd-cdi-prestation-de-services-tailleur-costume-sur-mesure/
Commerciaux,Agence RH,"Dakar, Sénégal",CDD,2026-03-27,https://www.emploidakar.com/offre-demploi/agence-rh-dakar-cdd-commerciaux/
Agent commercial,CSS,"Dakar, Sénégal",CDD,2026-03-27,https://www.emploidakar.com/offre-demploi/agent-commercial/
Conducteur Travaux CVCD & plomberie,VINCI Energies Sénégal,"Dakar, Sénégal",CDI,2026-03-27,https://www.emploidakar.com/offre-demploi/conducteur-travaux-cvcd-plomberie/
Manager Achat & Moyens généraux,ALTEN Sénégal,"Dakar, Sénégal",CDI,2026-03-27,https://www.emploidakar.com/offre-demploi/alten-senegal-dakar-senegal-cdi-manager-achat-moyens-generaux/
"Directeur(rice) Technique pour la santé maternelle, Néonatale et infantile et Nutrition",FHI 360,"Dakar, Sénégal",CDD,2026-03-27,https://www.emploidakar.com/offre-demploi/directeurrice-technique-pour-la-sante-maternelle-neonatale-et-infantile-et-nutrition/
Directeur Exécutif des Vaccins et de Bioproduction (CVO),Institut Pasteur de Dakar,"Dakar, Sénégal",CDD,2026-03-27,https://www.emploidakar.com/offre-demploi/directeur-executif-des-vaccins-et-de-bioproduction-cvo/
Consultant Support FAI,Alten Sénégal,"Dakar, Sénégal",Stage,2026-03-27,https://www.emploidakar.com/offre-demploi/alten-senegal-dakar-senegal-stage-consultant-support-fai/
Responsable régional,Pulse et PPI,"Dakar, Sénégal",CDI,2026-03-27,https://www.emploidakar.com/offre-demploi/responsable-regional/
Regional Business Development Director,Plan International,"Dakar, Sénégal",CDD,2026-03-27,https://www.emploidakar.com/offre-demploi/regional-business-development-director/
Chargé de support technique,GPF-SN,"Dakar, Sénégal",CDD,2026-03-27,https://www.emploidakar.com/offre-demploi/charge-de-support-technique/
UI/UX DESIGNER,Afric Management,"Dakar, Sénégal",CDD,2026-03-27,https://www.emploidakar.com/offre-demploi/ui-ux-designer-2/
Chargé(e) de Support Administratif,GPF,"Dakar, Sénégal",CDD,2026-03-27,https://www.emploidakar.com/offre-demploi/gpf-dakar-senegal-cdd-chargee-de-support-administratif/
03 Coordonnateurs de Terrain Rotationnels,Sama Mbey (myAgro),Sénégal,CDD,2026-03-27,https://www.emploidakar.com/offre-demploi/sama-mbey-myagro-senegal-cdd-03-coordonnateurs-de-terrain-rotationnel-2/
Gérante institut de beauté soins et bien être,Une entreprise de la place,"Almadies, Dakar, Sénégal",CDD,2026-03-26,https://www.emploidakar.com/offre-demploi/une-entreprise-de-la-place-almadies-cdd-cdi-prestation-de-services-stage-gerante-institut-de-beaute-soins-et-bien-etre/
Qualiticien Terrain,Elite RH,"Dakar, Sénégal",CDD,2026-03-26,https://www.emploidakar.com/offre-demploi/elite-rh-dakar-cdd-qualiticien-terrain/
Télévendeurs,Adm Value Sénégal,"Point E, Dakar",Stage,2026-03-26,https://www.emploidakar.com/offre-demploi/adm-value-senegal-point-e-dakar-immeuble-yaye-fatou-dieng-rue-de-ziguichor-stage-televendeurs-2/
Comptable,Azalai Hotels,"Dakar, Sénégal",CDD,2026-03-26,https://www.emploidakar.com/offre-demploi/comptable/
Assistant chef comptable,Azalai Hotels,"Dakar, Sénégal",CDD,2026-03-26,https://www.emploidakar.com/offre-demploi/assistant-chef-comptable/
Deux (2) premiers Commis de Cuisine,Axil Hotels,"Dakar, Sénégal",CDD,2026-03-26,https://www.emploidakar.com/offre-demploi/deux-2-premiers-commis-de-cuisine/
Gestionnaire de Portefeuille,CGF Bourse,"Dakar, Sénégal",CDD,2026-03-26,https://www.emploidakar.com/offre-demploi/gestionnaire-de-portefeuille/
Télévendeurs – AnyVan Sénégal,AnyVan,"Africaworks, 10700 Allées Seydou Nourou TALL",CDI,2026-03-26,https://www.emploidakar.com/offre-demploi/anyvan-africaworks-10700-allees-seydou-nourou-tall-cdi-televendeurs-anyvan-senegal/
Conseiller technique régional STRIDES,FHI 360,"Dakar, Sénégal",CDD,2026-03-26,https://www.emploidakar.com/offre-demploi/conseiller-technique-regional-strides/
Administrateur/trice comptable,COMI – Cooperazione per il Mondo in via di Sviluppo,"Kaffrine, Sénégal",CDD,2026-03-26,https://www.emploidakar.com/offre-demploi/administrateur-trice-comptable/
"Officer, Livelihoods & Resilience",IFRC,"Dakar, Sénégal",CDD,2026-03-26,https://www.emploidakar.com/offre-demploi/ifrc-dakar-senegal-cdd-officer-livelihoods-resilience/
Merchant Distribution Supervisor,Wave Mobile Money,"Dakar, Sénégal",CDD,2026-03-26,https://www.emploidakar.com/offre-demploi/wave-mobile-money-dakar-senegal-cdd-merchant-distribution-supervisor/
Spécialiste Marketing et Communication,Eureka Consulting International,"Dakar, Sénégal",CDI,2026-03-25,https://www.emploidakar.com/offre-demploi/eureka-consulting-international-dakar-senegal-cdi-specialiste-marketing-et-communication-2/
CHAUFFEUR PRIVÉ / FAMILIAL À THIÈS,Top Management 24,THIES,Prestation de Services,2026-03-25,https://www.emploidakar.com/offre-demploi/top-management-24-diourbel-dakar-cdd-technicien-operationnel-injection-plastique/
SN Merchant Account Supervisor,Wave Mobile Money,"Dakar, Sénégal",CDD,2026-03-25,https://www.emploidakar.com/offre-demploi/wave-mobile-money-dakar-senegal-cdd-sn-merchant-account-supervisor/
(288) Agents de collecte,ANSD,"Dakar, Sénégal",CDD,2026-03-25,https://www.emploidakar.com/offre-demploi/288-agents-de-collecte/
Candidates au Mariage (Femmes Uniquement),Agence de mariage sélective à Dakar,Sénégal,N/A,2026-03-25,https://www.emploidakar.com/offre-demploi/agence-de-mariage-selective-a-dakar-senegal-prestation-de-services-candidates-au-mariage/
Chargé de support technique (bilingue),Solar Panda Sénégal,"Dakar, Sénégal",CDD,2026-03-25,https://www.emploidakar.com/offre-demploi/solar-panda-senegal-dakar-senegal-cdd-charge-de-support-technique-bilingue/
Responsable des Ventes,G2 Invest,"Dakar, Sénégal",CDD,2026-03-25,https://www.emploidakar.com/offre-demploi/g2-invest-dakar-cdd-responsable-des-ventes/
Responsable des Ventes,Azalai Hotels,"Dakar, Sénégal",CDD,2026-03-24,https://www.emploidakar.com/offre-demploi/responsable-des-ventes/
Public Health Specialist (Emergency Management),Ambassade des États-Unis au Sénégal,"Dakar, Sénégal",CDD,2026-03-23,https://www.emploidakar.com/offre-demploi/public-health-specialist-emergency-management/
