titre,entreprise,ville,contrat,date,date_expiration,lien,source
Dev Full Stack Expérimenté – Java / Angular,N/A,Dakar,N/A,N/A,N/A,https://senjob.com/sn/jobseekers/dev-full-stack-expérimenté-–-java---angular_e_160538.html,senjob.com
Dev Full Stack Expérimenté – Node.js / React.js,N/A,Dakar,N/A,N/A,N/A,https://senjob.com/sn/jobseekers/dev-full-stack-expérimenté-–-node.js---react.js_e_160536.html,senjob.com
Comptable confirmé,N/A,Dakar,N/A,N/A,N/A,https://senjob.com/sn/jobseekers/comptable-confirmé_e_140378.html,senjob.com
APPEL D'OFFRE/ Fourniture de kits d'hygiène menstruelle,N/A,ziguinchor,N/A,2026-03-30,2026-04-10,https://senjob.com/sn/jobseekers/<b>appel-d-offre<-b>---fourniture-de-kits-d-hygiène-menstruelle_e_161107.html,senjob.com
Développeur Fullstack Java/Vue js,N/A,Dakar,N/A,2026-04-01,2026-04-30,https://senjob.com/sn/jobseekers/développeur-fullstack-java-vue-js_e_161149.html,senjob.com
Commercial terrain,N/A,Dakar,N/A,2026-04-08,2026-04-23,https://senjob.com/sn/jobseekers/commercial-terrain_e_161283.html,senjob.com
Closer / Setter (Commercial sur les Réseaux Sociaux),N/A,Dakar,N/A,2026-04-08,2026-04-24,https://senjob.com/sn/jobseekers/closer---setter--commercial-sur-les-réseaux-sociaux-_e_161282.html,senjob.com
Tailleur ou Couturière,N/A,Dakar,N/A,2026-04-08,2026-04-23,https://senjob.com/sn/jobseekers/tailleur-ou-couturière_e_161281.html,senjob.com
Vidéaste,N/A,Dakar,N/A,2026-04-08,2026-04-23,https://senjob.com/sn/jobseekers/vidéaste_e_161280.html,senjob.com
Créateur de contenu / Vlog / Journalisme,N/A,Dakar,N/A,2026-04-08,2026-04-25,https://senjob.com/sn/jobseekers/créateur-de-contenu---vlog---journalisme_e_161279.html,senjob.com
Stagiaire Analyste Carbone,N/A,Dakar,N/A,2026-04-08,2026-04-23,https://senjob.com/sn/jobseekers/stagiaire-analyste-carbone_e_161278.html,senjob.com
Responsable National Multimédia et Contenus Numériques,N/A,Dakar,N/A,2026-04-08,2026-04-24,https://senjob.com/sn/jobseekers/responsable-national-multimédia-et-contenus-numériques_e_161277.html,senjob.com
Stagiaire Archiviste Financier,N/A,Dakar,N/A,2026-04-08,2026-04-23,https://senjob.com/sn/jobseekers/stagiaire-archiviste-financier_e_161276.html,senjob.com
Chargé d’Approvisionnement,N/A,Dakar,N/A,2026-04-08,2026-04-28,https://senjob.com/sn/jobseekers/chargé-d’approvisionnement_e_161275.html,senjob.com
Country Growth Operations Lead,N/A,Dakar,N/A,2026-04-08,2026-04-24,https://senjob.com/sn/jobseekers/country-growth-operations-lead_e_161274.html,senjob.com
Ingénieur Traitement de l’Eau – Optimisation Énergétique,N/A,Dakar,N/A,2026-04-08,2026-04-24,https://senjob.com/sn/jobseekers/ingénieur-traitement-de-l’eau-–-optimisation-Énergétique_e_161273.html,senjob.com
Coordinateur Hub Innovation – Afrique de l’Ouest,N/A,Dakar,N/A,2026-04-08,2026-04-23,https://senjob.com/sn/jobseekers/coordinateur-hub-innovation-–-afrique-de-l’ouest_e_161272.html,senjob.com
Assistant RH,N/A,Dakar,N/A,2026-04-08,2026-04-23,https://senjob.com/sn/jobseekers/assistant-rh_e_161271.html,senjob.com
Stage En ligne sur la fonction Évaluation,N/A,Dakar,N/A,2026-04-08,2026-04-22,https://senjob.com/sn/jobseekers/stage-en-ligne-sur-la-fonction-Évaluation_e_161270.html,senjob.com
Assistant(e) Administratif(ve) et Comptable Bilingue,N/A,Dakar,N/A,2026-04-08,2026-04-24,https://senjob.com/sn/jobseekers/assistant-e--administratif-ve--et-comptable-bilingue_e_161269.html,senjob.com
Consultant (e) en analyse des politiques éducatives,N/A,Dakar,N/A,2026-04-08,2026-04-15,https://senjob.com/sn/jobseekers/consultant--e--en-analyse-des-politiques-éducatives_e_161268.html,senjob.com
Superviseur des cultures et des contrats d’achat (H/F),N/A,Dakar,N/A,2026-04-08,2026-04-24,https://senjob.com/sn/jobseekers/superviseur-des-cultures-et-des-contrats-d’achat--h-f-_e_161267.html,senjob.com
Regional Program Manager,N/A,Dakar,N/A,2026-04-08,2026-04-24,https://senjob.com/sn/jobseekers/regional-program-manager_e_161266.html,senjob.com
Manager Ressources Humaines – SAO (H/F),N/A,Dakar,N/A,2026-04-08,2026-04-24,https://senjob.com/sn/jobseekers/manager-ressources-humaines-–-sao--h-f-_e_161265.html,senjob.com
Crédit Manager,N/A,Dakar,N/A,2026-04-08,2026-04-23,https://senjob.com/sn/jobseekers/crédit-manager_e_161264.html,senjob.com
Superviseur de Caisse,N/A,Dakar,N/A,2026-04-08,2026-04-23,https://senjob.com/sn/jobseekers/superviseur-de-caisse_e_161263.html,senjob.com
Chef de Garage,N/A,Dakar,N/A,2026-04-08,2026-04-23,https://senjob.com/sn/jobseekers/chef-de-garage_e_161262.html,senjob.com
Docteur en pharmacie,N/A,Dakar,N/A,2026-04-08,2026-04-23,https://senjob.com/sn/jobseekers/docteur-en-pharmacie_e_161261.html,senjob.com
CHEF DE SECTEUR JUNIOR,N/A,dakar senega...,N/A,2026-04-08,2026-04-29,https://senjob.com/sn/jobseekers/chef-de-secteur-junior_e_161260.html,senjob.com
Responsable de Compétences (RC),N/A,Dakar,N/A,2026-04-08,2026-04-30,https://senjob.com/sn/jobseekers/responsable-de-compétences--rc-_e_161259.html,senjob.com
Consultant Support FAI avec expertise N1,N/A,Dakar,N/A,2026-03-31,2026-04-30,https://senjob.com/sn/jobseekers/consultant-support-fai-avec-expertise-n1_e_161131.html,senjob.com
Stage en comptabilité,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/stage-en-comptabilité_e_161257.html,senjob.com
Commerciale Terrain,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/commerciale-terrain_e_161256.html,senjob.com
Stagiaire Déclarant en Douane,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/stagiaire-déclarant-en-douane_e_161255.html,senjob.com
Auditeur Confirmé,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/auditeur-confirmé_e_161254.html,senjob.com
Deux (02) Auditeurs Seniors,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/deux--02--auditeurs-seniors_e_161253.html,senjob.com
Consultant·e pour la conception du Tostan Junior Program,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/consultant·e-pour-la-conception-du-tostan-junior-program_e_161252.html,senjob.com
Enquêteurs,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/enquêteurs_e_161251.html,senjob.com
Ingénieurs Statisticiens,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/ingénieurs-statisticiens_e_161250.html,senjob.com
Chauffeur Bilingue,N/A,Dakar,N/A,2026-04-07,2026-04-21,https://senjob.com/sn/jobseekers/chauffeur-bilingue_e_161249.html,senjob.com
Business Developer – Merchant Payments,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/business-developer-–-merchant-payments_e_161248.html,senjob.com
Coordinateur de Projet,N/A,Dakar,N/A,2026-04-07,2026-04-21,https://senjob.com/sn/jobseekers/coordinateur-de-projet_e_161247.html,senjob.com
Graphique Designer Senior,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/graphique-designer-senior_e_161246.html,senjob.com
Dev Front-End Expérimenté – React.js,N/A,Dakar,N/A,N/A,N/A,https://senjob.com/sn/jobseekers/dev-front-end-expérimenté-–-react.js_e_160537.html,senjob.com
Responsable des Operations,N/A,Thies,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/responsable-des-operations_e_161245.html,senjob.com
Spécialiste en Communication,N/A,Dakar,N/A,2026-04-07,2026-04-10,https://senjob.com/sn/jobseekers/spécialiste-en-communication_e_161244.html,senjob.com
Chief Of Staff,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/chief-of-staff_e_161243.html,senjob.com
Traducteurs professionnels,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/traducteurs-professionnels_e_161242.html,senjob.com
Responsable Commercial.e & Partenariats (Part-time) – UBB,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/responsable-commercial.e---partenariats--part-time--–-ubb_e_161241.html,senjob.com
Nounou et Chef Cuisinière Expérimentées,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/nounou-et-chef-cuisinière-expérimentées_e_161240.html,senjob.com
10 Business Developers,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/10-business-developers_e_161239.html,senjob.com
Chauffeurs Taxi Particuliers,N/A,Dakar,N/A,2026-04-07,2026-04-22,https://senjob.com/sn/jobseekers/chauffeurs-taxi-particuliers_e_161238.html,senjob.com
CAISSIER H/F,N/A,Dakar,N/A,2026-04-03,2026-04-30,https://senjob.com/sn/jobseekers/caissier-h-f_e_161192.html,senjob.com
CHEF PATISSIER H/F,N/A,Dakar (seneg...,N/A,2026-04-03,2026-04-30,https://senjob.com/sn/jobseekers/chef-patissier-h-f_e_161191.html,senjob.com
Télétravail - placement auprès d'entreprises internationales,N/A,Dakar,N/A,2026-03-30,2026-04-29,https://senjob.com/sn/jobseekers/télétravail---placement-auprès-d-entreprises-internationales_e_161106.html,senjob.com
Consultant Support FAI,N/A,Dakar (seneg...,N/A,2026-03-26,2026-04-24,https://senjob.com/sn/jobseekers/consultant-support-fai_e_161060.html,senjob.com
Femme de Ménage Qualifiée,N/A,Dakar,N/A,2026-04-06,2026-04-18,https://senjob.com/sn/jobseekers/femme-de-ménage-qualifiée_e_161237.html,senjob.com
Gérante Cuisinière,N/A,Thies,N/A,2026-04-06,2026-04-18,https://senjob.com/sn/jobseekers/gérante-cuisinière_e_161236.html,senjob.com
"Expert BTP, Spécialisé en Génie Maritime/Côtier",N/A,Dakar,N/A,2026-04-06,2026-04-10,"https://senjob.com/sn/jobseekers/expert-btp,-spécialisé-en-génie-maritime-côtier_e_161235.html",senjob.com
Expert en Modélisation Numérique Appliquée au Milieu Marin Côtier,N/A,Dakar,N/A,2026-04-06,2026-04-18,https://senjob.com/sn/jobseekers/expert-en-modélisation-numérique-appliquée-au-milieu-marin-côtier_e_161234.html,senjob.com
Business Developer freelance — Apporteur d’affaires,N/A,Dakar,N/A,2026-04-06,2026-04-18,https://senjob.com/sn/jobseekers/business-developer-freelance-—-apporteur-d’affaires_e_161233.html,senjob.com
Gestionnaire Site Web & Réseaux Sociaux,N/A,Dakar,N/A,2026-04-06,2026-04-18,https://senjob.com/sn/jobseekers/gestionnaire-site-web---réseaux-sociaux_e_161232.html,senjob.com
Stagiaire Commerciale,N/A,Dakar,N/A,2026-04-06,2026-04-18,https://senjob.com/sn/jobseekers/stagiaire-commerciale_e_161231.html,senjob.com
Conseillers Commerciaux (Free Télécom),N/A,Dakar,N/A,2026-04-06,2026-04-13,https://senjob.com/sn/jobseekers/conseillers-commerciaux--free-télécom-_e_161230.html,senjob.com
Chargé de domaine de formation « Secteurs bancaire et financier »,N/A,Dakar,N/A,2026-04-06,2026-04-13,https://senjob.com/sn/jobseekers/chargé-de-domaine-de-formation-«-secteurs-bancaire-et-financier-»_e_161229.html,senjob.com
Opérateur de maintenance du patrimoine,N/A,Dakar,N/A,2026-04-06,2026-04-13,https://senjob.com/sn/jobseekers/opérateur-de-maintenance-du-patrimoine_e_161228.html,senjob.com
Chargé de la réglementation des systèmes et moyens de paiement,N/A,Dakar,N/A,2026-04-06,2026-04-13,https://senjob.com/sn/jobseekers/chargé-de-la-réglementation-des-systèmes-et-moyens-de-paiement_e_161227.html,senjob.com
Gestionnaire des incidents et des demandes d’assistance,N/A,Dakar,N/A,2026-04-06,2026-04-13,https://senjob.com/sn/jobseekers/gestionnaire-des-incidents-et-des-demandes-d’assistance_e_161226.html,senjob.com
Gestionnaire d’opérations financières,N/A,Dakar,N/A,2026-04-06,2026-04-13,https://senjob.com/sn/jobseekers/gestionnaire-d’opérations-financières_e_161225.html,senjob.com
Chargé d’études en organisation,N/A,Dakar,N/A,2026-04-06,2026-04-13,https://senjob.com/sn/jobseekers/chargé-d’études-en-organisation_e_161224.html,senjob.com
Chargé des projets de communication,N/A,Dakar,N/A,2026-04-06,2026-04-18,https://senjob.com/sn/jobseekers/chargé-des-projets-de-communication_e_161223.html,senjob.com
"Senior Malaria Advisor, DOS LEAP Global – Senegal",N/A,Dakar,N/A,2026-04-04,2026-04-18,"https://senjob.com/sn/jobseekers/senior-malaria-advisor,-dos-leap-global-–-senegal_e_161222.html",senjob.com
Business Development Director – Senegal,N/A,Dakar,N/A,2026-04-04,2026-04-18,https://senjob.com/sn/jobseekers/business-development-director-–-senegal_e_161221.html,senjob.com
Directeur Clinique,N/A,Dakar,N/A,2026-04-04,2026-04-18,https://senjob.com/sn/jobseekers/directeur-clinique_e_161220.html,senjob.com
Responsable Spa,N/A,Dakar,N/A,2026-04-04,2026-04-18,https://senjob.com/sn/jobseekers/responsable-spa_e_161219.html,senjob.com
GEF Projects Sub-Regional Coordinator,N/A,Dakar,N/A,2026-04-04,2026-04-16,https://senjob.com/sn/jobseekers/gef-projects-sub-regional-coordinator_e_161218.html,senjob.com
Ingénieur Projet,N/A,Dakar,N/A,2026-04-04,2026-04-18,https://senjob.com/sn/jobseekers/ingénieur-projet_e_161217.html,senjob.com
Professeur du Second Degré – Arts Plastiques-Français,N/A,Dakar,N/A,2026-04-04,2026-04-18,https://senjob.com/sn/jobseekers/professeur-du-second-degré-–-arts-plastiques-français_e_161216.html,senjob.com
Coordinateur Pédagogique,N/A,Dakar,N/A,2026-04-04,2026-04-18,https://senjob.com/sn/jobseekers/coordinateur-pédagogique_e_161215.html,senjob.com
Comptable,N/A,Dakar,N/A,2026-04-04,2026-04-18,https://senjob.com/sn/jobseekers/comptable_e_161214.html,senjob.com
Stage subventionné pour jeunes diplômés au sein de la Délégation de l’UE au Sénégal,N/A,Dakar,N/A,2026-04-04,2026-04-18,https://senjob.com/sn/jobseekers/stage-subventionné-pour-jeunes-diplômés-au-sein-de-la-délégation-de-l’ue-au-sénégal_e_161213.html,senjob.com
Chargé(e) de la Relation Client,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/chargé-e--de-la-relation-client_e_161211.html,senjob.com
Chargé(e) de Financement,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/chargé-e--de-financement_e_161210.html,senjob.com
Technicien Bâtiment H/F,N/A,Dakar,N/A,2026-04-03,2026-04-15,https://senjob.com/sn/jobseekers/technicien-bâtiment-h-f_e_161209.html,senjob.com
Ingénieur Bâtiment,N/A,Dakar,N/A,2026-04-03,2026-04-15,https://senjob.com/sn/jobseekers/ingénieur-bâtiment_e_161208.html,senjob.com
Responsable Conformité,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/responsable-conformité_e_161207.html,senjob.com
Adjoint/ Adjointe à la sécurité,N/A,Dakar,N/A,2026-04-03,2026-04-13,https://senjob.com/sn/jobseekers/adjoint--adjointe-à-la-sécurité_e_161206.html,senjob.com
Pricing and Quoting Intern Apprentice West Africa,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/pricing-and-quoting-intern-apprentice-west-africa_e_161205.html,senjob.com
Manufacturing Team Leader,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/manufacturing-team-leader_e_161204.html,senjob.com
"Stagiaire Suivi, Évaluation et Apprentissage",N/A,Dakar,N/A,2026-04-03,2026-04-18,"https://senjob.com/sn/jobseekers/stagiaire-suivi,-Évaluation-et-apprentissage_e_161203.html",senjob.com
Responsable des Finances et de l’Administration,N/A,Dakar,N/A,2026-04-03,2026-04-15,https://senjob.com/sn/jobseekers/responsable-des-finances-et-de-l’administration_e_161202.html,senjob.com
Développeur Sénior,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/développeur-sénior_e_161201.html,senjob.com
Chef(fe) des Services Administratifs (CSA),N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/chef-fe--des-services-administratifs--csa-_e_161200.html,senjob.com
Restaurant Manager,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/restaurant-manager_e_161199.html,senjob.com
HR Associate,N/A,Dakar,N/A,2026-04-03,2026-04-09,https://senjob.com/sn/jobseekers/hr-associate_e_161197.html,senjob.com
Téléconseiller en prise de RDV B2B,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/téléconseiller-en-prise-de-rdv-b2b_e_161196.html,senjob.com
Techniciennes de Surface,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/techniciennes-de-surface_e_161195.html,senjob.com
Community Manager,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/community-manager_e_161194.html,senjob.com
Formation Tech Academy et Recrutement JOJ2026,N/A,Dakar,N/A,2026-04-03,2026-04-18,https://senjob.com/sn/jobseekers/formation-tech-academy-et-recrutement-joj2026_e_161193.html,senjob.com
Economic Specialist,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/economic-specialist_e_161190.html,senjob.com
Chauffeur,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/chauffeur_e_161189.html,senjob.com
Agent de Sécurité,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/agent-de-sécurité_e_161188.html,senjob.com
Acheteur,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/acheteur_e_161187.html,senjob.com
Chargé de Pilotage & Performance,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/chargé-de-pilotage---performance_e_161186.html,senjob.com
Responsable de Zone,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/responsable-de-zone_e_161185.html,senjob.com
Directeur (trice) artistique,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/directeur--trice--artistique_e_161183.html,senjob.com
Chef de publicité,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/chef-de-publicité_e_161182.html,senjob.com
Content Manager,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/content-manager_e_161181.html,senjob.com
