titre,entreprise,ville,contrat,date,date_expiration,lien,source
Pompiste,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/pompiste_e_161180.html,senjob.com
Technicien de baie,N/A,Thies,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/technicien-de-baie_e_161179.html,senjob.com
Rayonniste,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/rayonniste_e_161178.html,senjob.com
Caissier,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/caissier_e_161177.html,senjob.com
Laveur,N/A,Thies,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/laveur_e_161176.html,senjob.com
Gérant de boutique,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/gérant-de-boutique_e_161174.html,senjob.com
Gérant de station,N/A,Thies,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/gérant-de-station_e_161173.html,senjob.com
Commis Administratif,N/A,Dakar,N/A,2026-04-02,2026-04-17,https://senjob.com/sn/jobseekers/commis-administratif_e_161172.html,senjob.com
Public Engagement Assistant,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/public-engagement-assistant_e_161169.html,senjob.com
Télévendeurs en conquête mobile/marché français,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/télévendeurs-en-conquête-mobile-marché-français_e_161168.html,senjob.com
Responsable Pédagogique,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/responsable-pédagogique_e_161167.html,senjob.com
Technicien Electromécanicien,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/technicien-electromécanicien_e_161166.html,senjob.com
Commercial B2B,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/commercial-b2b_e_161164.html,senjob.com
Cuisinière professionnelle,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/cuisinière-professionnelle_e_161163.html,senjob.com
Assistant.e au primaire bilingue,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/assistant.e-au-primaire-bilingue_e_161162.html,senjob.com
Agent Enquêteur,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/agent-enquêteur_e_161161.html,senjob.com
Commerciaux,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/commerciaux_e_161160.html,senjob.com
Business Analyst,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/business-analyst_e_161159.html,senjob.com
Enseignant Bilingue,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/enseignant-bilingue_e_161158.html,senjob.com
Chargé(e) de Trade Marketing,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/chargé-e--de-trade-marketing_e_161157.html,senjob.com
Contrôleur de Gestion,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/contrôleur-de-gestion_e_161156.html,senjob.com
Chef de la sécurité,N/A,Thies,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/chef-de-la-sécurité_e_161155.html,senjob.com
Emerging Leaders Trainee Programme,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/emerging-leaders-trainee-programme_e_161154.html,senjob.com
"Assistant(e) administratif(ve), achats et comptabilité",N/A,Dakar,N/A,2026-04-01,2026-04-16,"https://senjob.com/sn/jobseekers/assistant-e--administratif-ve-,-achats-et-comptabilité_e_161153.html",senjob.com
Assistant(e) de Direction,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/assistant-e--de-direction_e_161152.html,senjob.com
Chargé de Suivi-Évaluation,N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/chargé-de-suivi-Évaluation_e_161151.html,senjob.com
Chauffeur Livreur Tricycle (Moto 3 roues),N/A,Dakar,N/A,2026-04-01,2026-04-16,https://senjob.com/sn/jobseekers/chauffeur-livreur-tricycle--moto-3-roues-_e_161150.html,senjob.com
Stagiaire en Droit,N/A,Dakar,N/A,2026-04-01,2026-04-15,https://senjob.com/sn/jobseekers/stagiaire-en-droit_e_161148.html,senjob.com
Coordinateur.rice régional.e pédagogique Afrique,N/A,Dakar,N/A,2026-04-01,2026-04-15,https://senjob.com/sn/jobseekers/coordinateur.rice-régional.e-pédagogique-afrique_e_161147.html,senjob.com
Responsable Fiscalité et Conformité,N/A,Dakar,N/A,2026-04-01,2026-04-15,https://senjob.com/sn/jobseekers/responsable-fiscalité-et-conformité_e_161146.html,senjob.com
Chauffeur Paferceau/O Wood,N/A,Dakar,N/A,2026-04-01,2026-04-15,https://senjob.com/sn/jobseekers/chauffeur-paferceau-o-wood_e_161145.html,senjob.com
Agent de Support Client H/F,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/agent-de-support-client-h-f_e_161144.html,senjob.com
consultant Expert Socio ou Agroéconomiste,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/consultant-expert-socio-ou-agroéconomiste_e_161143.html,senjob.com
Responsable Atelier Mécanique et Coordination,N/A,Dakar,N/A,2026-03-31,2026-04-16,https://senjob.com/sn/jobseekers/responsable-atelier-mécanique-et-coordination_e_161142.html,senjob.com
Commercial Sédentaire / Téléprospecteur (H/F),N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/commercial-sédentaire---téléprospecteur--h-f-_e_161141.html,senjob.com
Responsable de Production Extursion,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/responsable-de-production-extursion_e_161140.html,senjob.com
Project Manager,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/project-manager_e_161139.html,senjob.com
Aide Gouvernante,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/aide-gouvernante_e_161137.html,senjob.com
Maitre d’Hotel,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/maitre-d’hotel_e_161136.html,senjob.com
Agents de nettoyage,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/agents-de-nettoyage_e_161135.html,senjob.com
Assistant Caissier et commercial,N/A,Dakar,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/assistant-caissier-et-commercial_e_161133.html,senjob.com
Assistante Commerciale résidante à Tambacounda,N/A,Tambacounda,N/A,2026-03-31,2026-04-15,https://senjob.com/sn/jobseekers/assistante-commerciale-résidante-à-tambacounda_e_161132.html,senjob.com
Global Assurance Manager,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/global-assurance-manager_e_161130.html,senjob.com
Superviseur Génie Civil,N/A,Dakar,N/A,2026-03-30,2026-04-16,https://senjob.com/sn/jobseekers/superviseur-génie-civil_e_161129.html,senjob.com
Assistant de passation de marchés,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/assistant-de-passation-de-marchés_e_161128.html,senjob.com
Référent.e Maladies Non Transmissibles,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/référent.e-maladies-non-transmissibles_e_161127.html,senjob.com
Assistant(e) Administratif(ve) et Qualité,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/assistant-e--administratif-ve--et-qualité_e_161126.html,senjob.com
APPEL D'OFFRE/ Fourniture de kits d'hygiène me...,N/A,ziguinchor,N/A,N/A,N/A,https://senjob.com/sn/jobseekers/<b>appel-d-offre<-b>---fourniture-de-kits-d-hygiène-menstruelle_e_161107.html,senjob.com
Agent Assurance Qualité / Contrôle Qualité,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/agent-assurance-qualité---contrôle-qualité_e_161125.html,senjob.com
Expert-Comptable,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/expert-comptable_e_161124.html,senjob.com
Regional Infrastructure Advisor,N/A,Dakar,N/A,2026-03-30,2026-04-11,https://senjob.com/sn/jobseekers/regional-infrastructure-advisor_e_161123.html,senjob.com
Internal Auditor,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/internal-auditor_e_161122.html,senjob.com
Cash-Based Interventions Officer,N/A,Dakar,N/A,2026-03-30,2026-04-10,https://senjob.com/sn/jobseekers/cash-based-interventions-officer_e_161121.html,senjob.com
Livreur,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/livreur_e_161120.html,senjob.com
Conducteur Travaux CVCD & Plomberie,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/conducteur-travaux-cvcd---plomberie_e_161119.html,senjob.com
Bilingual HR Operations,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/bilingual-hr-operations_e_161118.html,senjob.com
Ingénieur Génie Civil Bilingue,N/A,St Louis,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/ingénieur-génie-civil-bilingue_e_161116.html,senjob.com
Ferrailleurs,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/ferrailleurs_e_161114.html,senjob.com
Stagiaire Communication & Marketing Digital,N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/stagiaire-communication---marketing-digital_e_161112.html,senjob.com
Commercial Terrain (H/F),N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/commercial-terrain--h-f-_e_161111.html,senjob.com
"Stagiaires Développeurs Frontend, Backend & Web/Mobile (H/F)",N/A,Dakar,N/A,2026-03-30,2026-04-14,"https://senjob.com/sn/jobseekers/stagiaires-développeurs-frontend,-backend---web-mobile--h-f-_e_161110.html",senjob.com
Commercial ERP / Odoo (H/F),N/A,Dakar,N/A,2026-03-30,2026-04-14,https://senjob.com/sn/jobseekers/commercial-erp---odoo--h-f-_e_161109.html,senjob.com
Regional Business Development Director – West and Central Africa,N/A,Dakar,N/A,2026-03-29,2026-04-10,https://senjob.com/sn/jobseekers/regional-business-development-director-–-west-and-central-africa_e_161105.html,senjob.com
Référent.e Maladies Non Transmissibles F/H,N/A,Dakar,N/A,2026-03-29,2026-04-11,https://senjob.com/sn/jobseekers/référent.e-maladies-non-transmissibles-f-h_e_161103.html,senjob.com
Tailleur Costume sur mesure,N/A,Dakar,N/A,2026-03-29,2026-04-11,https://senjob.com/sn/jobseekers/tailleur-costume-sur-mesure_e_161102.html,senjob.com
Conducteur Travaux CVCD & plomberie,N/A,Dakar,N/A,2026-03-29,2026-04-11,https://senjob.com/sn/jobseekers/conducteur-travaux-cvcd---plomberie_e_161096.html,senjob.com
Agent transit,N/A,Dakar,N/A,2026-03-27,2026-04-11,https://senjob.com/sn/jobseekers/agent-transit_e_161095.html,senjob.com
"Directeur(rice) Technique pour la santé maternelle, Néonatale et infantile et Nutrition",N/A,Dakar,N/A,2026-03-27,2026-04-11,"https://senjob.com/sn/jobseekers/directeur-rice--technique-pour-la-santé-maternelle,-néonatale-et-infantile-et-nutrition_e_161094.html",senjob.com
M&E Officer,N/A,Dakar,N/A,2026-03-27,2026-04-11,https://senjob.com/sn/jobseekers/m-e-officer_e_161093.html,senjob.com
Directeur Exécutif des Vaccins et de Bioproduction (CVO),N/A,Dakar,N/A,2026-03-27,2026-04-11,https://senjob.com/sn/jobseekers/directeur-exécutif-des-vaccins-et-de-bioproduction--cvo-_e_161092.html,senjob.com
Responsable régional,N/A,Dakar,N/A,2026-03-27,2026-04-11,https://senjob.com/sn/jobseekers/responsable-régional_e_161091.html,senjob.com
Regional Business Development Director,N/A,Dakar,N/A,2026-03-27,2026-04-11,https://senjob.com/sn/jobseekers/regional-business-development-director_e_161090.html,senjob.com
Chargé de support technique,N/A,Dakar,N/A,2026-03-27,2026-04-11,https://senjob.com/sn/jobseekers/chargé-de-support-technique_e_161089.html,senjob.com
UI/UX DESIGNER,N/A,Dakar,N/A,2026-03-27,2026-04-11,https://senjob.com/sn/jobseekers/ui-ux-designer_e_161088.html,senjob.com
Chargé(e) de Support Administratif,N/A,Dakar,N/A,2026-03-27,2026-04-11,https://senjob.com/sn/jobseekers/chargé-e--de-support-administratif_e_161087.html,senjob.com
Assistant des Achats et de la Logistique,N/A,Dakar,N/A,2026-03-27,2026-04-11,https://senjob.com/sn/jobseekers/assistant-des-achats-et-de-la-logistique_e_161086.html,senjob.com
Technicien Support Informatique,N/A,Dakar,N/A,2026-03-27,2026-04-11,https://senjob.com/sn/jobseekers/technicien-support-informatique_e_161084.html,senjob.com
Gérante institut de beauté soins et bien être,N/A,Dakar,N/A,2026-03-27,2026-04-11,https://senjob.com/sn/jobseekers/gérante-institut-de-beauté-soins-et-bien-être_e_161083.html,senjob.com
Qualiticien Terrain,N/A,Dakar,N/A,2026-03-27,2026-04-10,https://senjob.com/sn/jobseekers/qualiticien-terrain_e_161082.html,senjob.com
Comptable & Assistant(e) administratif(ve),N/A,Dakar,N/A,2026-03-26,2026-04-10,https://senjob.com/sn/jobseekers/comptable---assistant-e--administratif-ve-_e_161079.html,senjob.com
Responsable Commercial,N/A,Dakar,N/A,2026-03-26,2026-04-10,https://senjob.com/sn/jobseekers/responsable-commercial_e_161078.html,senjob.com
Deux (2) premiers Commis de Cuisine,N/A,Dakar,N/A,2026-03-26,2026-04-10,https://senjob.com/sn/jobseekers/deux--2--premiers-commis-de-cuisine_e_161077.html,senjob.com
Gestionnaire de Portefeuille,N/A,Dakar,N/A,2026-03-26,2026-04-10,https://senjob.com/sn/jobseekers/gestionnaire-de-portefeuille_e_161076.html,senjob.com
Responsable de projet,N/A,Dakar,N/A,2026-03-26,2026-04-10,https://senjob.com/sn/jobseekers/responsable-de-projet_e_161075.html,senjob.com
Conseiller technique régional STRIDES,N/A,Dakar,N/A,2026-03-26,2026-04-10,https://senjob.com/sn/jobseekers/conseiller-technique-régional-strides_e_161074.html,senjob.com
Administrateur/trice comptable,N/A,Dakar,N/A,2026-03-26,2026-04-19,https://senjob.com/sn/jobseekers/administrateur-trice-comptable_e_161073.html,senjob.com
Directeur des Etudes et offres,N/A,Dakar,N/A,2026-03-26,2026-04-10,https://senjob.com/sn/jobseekers/directeur-des-etudes-et-offres_e_161071.html,senjob.com
"Officer, Livelihoods & Resilience",N/A,Dakar,N/A,2026-03-26,2026-04-10,"https://senjob.com/sn/jobseekers/officer,-livelihoods---resilience_e_161069.html",senjob.com
Merchant Distribution Supervisor,N/A,Dakar,N/A,2026-03-26,2026-04-10,https://senjob.com/sn/jobseekers/merchant-distribution-supervisor_e_161068.html,senjob.com
Interprète Billingue CHINOIS,N/A,Dakar,N/A,2026-03-26,2026-04-10,https://senjob.com/sn/jobseekers/interprète-billingue-chinois_e_161067.html,senjob.com
Spécialiste Marketing et Communication,N/A,Dakar,N/A,2026-03-26,2026-04-10,https://senjob.com/sn/jobseekers/spécialiste-marketing-et-communication_e_161066.html,senjob.com
Technicien opérationnel injection plastique,N/A,Diourbel,N/A,2026-03-26,2026-04-10,https://senjob.com/sn/jobseekers/technicien-opérationnel-injection-plastique_e_161065.html,senjob.com
(288) Agents de collecte,N/A,Dakar,N/A,2026-03-25,2026-04-11,https://senjob.com/sn/jobseekers/-288--agents-de-collecte_e_161055.html,senjob.com
Chargé de support technique (bilingue),N/A,Dakar,N/A,2026-03-25,2026-04-15,https://senjob.com/sn/jobseekers/chargé-de-support-technique--bilingue-_e_161054.html,senjob.com
Responsable des Ventes,N/A,Dakar,N/A,2026-03-25,2026-04-09,https://senjob.com/sn/jobseekers/responsable-des-ventes_e_161053.html,senjob.com
Professeur français/mathématiques pour orphelinat,N/A,Dakar,N/A,2026-03-25,2026-04-09,https://senjob.com/sn/jobseekers/professeur-français-mathématiques-pour-orphelinat_e_161051.html,senjob.com
Deux (02) Agents moyens généraux,N/A,KEDOUGOU,N/A,2026-03-25,2026-04-09,https://senjob.com/sn/jobseekers/deux--02--agents-moyens-généraux_e_161050.html,senjob.com
Deux (02) Plombiers,N/A,KEDOUGOU,N/A,2026-03-25,2026-04-09,https://senjob.com/sn/jobseekers/deux--02--plombiers_e_161049.html,senjob.com
02 Menuisiers,N/A,KEDOUGOU,N/A,2026-03-25,2026-04-09,https://senjob.com/sn/jobseekers/02-menuisiers_e_161048.html,senjob.com
Deux (02) Techniciens Instrumentistes,N/A,Dakar,N/A,2026-03-25,2026-04-09,https://senjob.com/sn/jobseekers/deux--02--techniciens-instrumentistes_e_161047.html,senjob.com
Deux (02) Électriciens,N/A,Dakar,N/A,2026-03-25,2026-04-09,https://senjob.com/sn/jobseekers/deux--02--Électriciens_e_161046.html,senjob.com
Deux (02) Soudeurs,N/A,KEDOUGOU,N/A,2026-03-25,2026-04-09,https://senjob.com/sn/jobseekers/deux--02--soudeurs_e_161045.html,senjob.com
02 Mécaniciens,N/A,Dakar,N/A,2026-03-25,2026-04-09,https://senjob.com/sn/jobseekers/02-mécaniciens_e_161044.html,senjob.com
Assistant Achat et Logistique,N/A,Dakar,N/A,2026-03-25,2026-04-09,https://senjob.com/sn/jobseekers/assistant-achat-et-logistique_e_161041.html,senjob.com
Responsable Administratif et Financier,N/A,Dakar,N/A,2026-03-25,2026-04-09,https://senjob.com/sn/jobseekers/responsable-administratif-et-financier_e_161040.html,senjob.com
International Consultant: CSE in Humanitarian settings,N/A,Dakar,N/A,2026-03-25,2026-04-09,https://senjob.com/sn/jobseekers/international-consultant:-cse-in-humanitarian-settings_e_161038.html,senjob.com
Développeur Fullstack Expérimenté Java / React,N/A,Dakar (seneg...,N/A,2026-01-26,2026-04-16,https://senjob.com/sn/jobseekers/développeur-fullstack-expérimenté-java---react_e_160029.html,senjob.com
Data Scientist Sénior SQL / Python,N/A,Dakar (seneg...,N/A,2026-01-26,2026-04-16,https://senjob.com/sn/jobseekers/data-scientist-sénior-sql---python_e_160028.html,senjob.com
Data Engineer Sénior – DBT / SQL / BigQuery,N/A,Dakar,N/A,2026-02-18,2026-04-16,https://senjob.com/sn/jobseekers/data-engineer-sénior-–-dbt---sql---bigquery_e_160435.html,senjob.com
Développeur Back-End Experimenté Java,N/A,Dakar,N/A,2026-02-18,2026-04-16,https://senjob.com/sn/jobseekers/développeur-back-end-experimenté-java_e_160434.html,senjob.com
CHEF DE DÉPARTEMENT JURIDIQUE ET FISCAL,N/A,Dakar (seneg...,N/A,2026-03-11,2026-04-10,https://senjob.com/sn/jobseekers/chef-de-dÉpartement-juridique-et-fiscal_e_160813.html,senjob.com
